epoch,batch_loss,batch_acc,val_loss,val_acc
1,0.8140496015548706,0.5837500095367432,0.7917872071266174,0.596666693687439
2,0.7814614772796631,0.5899999737739563,0.7609041333198547,0.6033333539962769
3,0.751448392868042,0.6324999928474426,0.7316577434539795,0.6974999904632568
4,0.7226393818855286,0.7325000166893005,0.7056286334991455,0.7433333396911621
5,0.6968866586685181,0.7512500286102295,0.6809592843055725,0.7524999976158142
6,0.6730663180351257,0.7562500238418579,0.6578512191772461,0.7674999833106995
7,0.6508012413978577,0.7674999833106995,0.6370118260383606,0.7875000238418579
8,0.6301392912864685,0.7799999713897705,0.6186426877975464,0.8075000047683716
9,0.6118126511573792,0.8012499809265137,0.6004381775856018,0.8308333158493042
10,0.5943452715873718,0.8187500238418579,0.5843155980110168,0.8475000262260437
11,0.5785304307937622,0.84375,0.5694665312767029,0.8658333420753479
12,0.5639714598655701,0.8525000214576721,0.555527925491333,0.8924999833106995
13,0.550291121006012,0.8862500190734863,0.5428941249847412,0.9258333444595337
14,0.5378391146659851,0.9375,0.5310326218605042,0.9516666531562805
15,0.5259788632392883,0.9524999856948853,0.5201345086097717,0.9516666531562805
16,0.5149763822555542,0.9537500143051147,0.5098810195922852,0.949999988079071
17,0.5048052072525024,0.9524999856948853,0.5001261830329895,0.9474999904632568
18,0.4950304925441742,0.9549999833106995,0.4912351071834564,0.9466666579246521
19,0.486105352640152,0.9574999809265137,0.48292413353919983,0.9466666579246521
20,0.4777301847934723,0.9599999785423279,0.475071519613266,0.9508333206176758
21,0.4699355959892273,0.9624999761581421,0.46771255135536194,0.9524999856948853
22,0.46262603998184204,0.9637500047683716,0.4609310030937195,0.9558333158493042
23,0.45586097240448,0.9674999713897705,0.4546484351158142,0.9574999809265137
24,0.4496821463108063,0.9674999713897705,0.44891688227653503,0.9608333110809326
25,0.4440644383430481,0.96875,0.44368404150009155,0.9616666436195374
26,0.43888556957244873,0.9700000286102295,0.4389439523220062,0.9633333086967468
27,0.43428418040275574,0.9712499976158142,0.4346470534801483,0.9666666388511658
28,0.43004944920539856,0.9725000262260437,0.43069589138031006,0.9666666388511658
29,0.42609432339668274,0.9725000262260437,0.42700403928756714,0.9683333039283752
30,0.42243698239326477,0.9725000262260437,0.4235179126262665,0.9691666960716248
31,0.4189457595348358,0.9737499952316284,0.4202096164226532,0.9691666960716248
32,0.4155617654323578,0.9737499952316284,0.41695931553840637,0.9691666960716248
33,0.4123099148273468,0.9737499952316284,0.41379913687705994,0.9700000286102295
34,0.40908658504486084,0.9737499952316284,0.41068586707115173,0.971666693687439
35,0.4059644639492035,0.9750000238418579,0.4076174199581146,0.9725000262260437
36,0.40286436676979065,0.9750000238418579,0.40461766719818115,0.9733333587646484
37,0.3998270332813263,0.9750000238418579,0.4016510546207428,0.9741666913032532
38,0.3968192934989929,0.9750000238418579,0.39869606494903564,0.9741666913032532
39,0.39380332827568054,0.9750000238418579,0.3957541882991791,0.9750000238418579
40,0.3908255696296692,0.9750000238418579,0.39285796880722046,0.9750000238418579
41,0.3879072070121765,0.9750000238418579,0.39000120759010315,0.9750000238418579
42,0.3849796950817108,0.9750000238418579,0.3871378004550934,0.9750000238418579
43,0.3821033239364624,0.9762499928474426,0.38432615995407104,0.9775000214576721
44,0.37925365567207336,0.9775000214576721,0.3815672695636749,0.9808333516120911
45,0.37640708684921265,0.9775000214576721,0.37878555059432983,0.9808333516120911
46,0.3735946714878082,0.9775000214576721,0.3760295808315277,0.9816666841506958
47,0.3708152770996094,0.9775000214576721,0.37332040071487427,0.9825000166893005
48,0.36807000637054443,0.9787499904632568,0.37062713503837585,0.9825000166893005
49,0.36531001329421997,0.9787499904632568,0.3679463565349579,0.9825000166893005
50,0.36261096596717834,0.9787499904632568,0.3653164505958557,0.9825000166893005
51,0.3599368631839752,0.9787499904632568,0.36267775297164917,0.9833333492279053
52,0.35724472999572754,0.9787499904632568,0.36006566882133484,0.9833333492279053
53,0.3546188771724701,0.981249988079071,0.35747405886650085,0.98416668176651
54,0.35199204087257385,0.9825000166893005,0.3549061715602875,0.98416668176651
55,0.34939852356910706,0.9825000166893005,0.3523831069469452,0.98416668176651
56,0.3468090891838074,0.9825000166893005,0.3498586118221283,0.98416668176651
57,0.3442600667476654,0.9825000166893005,0.3473609685897827,0.9850000143051147
58,0.3417395353317261,0.9837499856948853,0.34486696124076843,0.9850000143051147
59,0.33919453620910645,0.9837499856948853,0.34241998195648193,0.9866666793823242
60,0.3367108404636383,0.9837499856948853,0.33999308943748474,0.9866666793823242
61,0.33424293994903564,0.9837499856948853,0.3375532925128937,0.9866666793823242
62,0.33179566264152527,0.9837499856948853,0.33515194058418274,0.9866666793823242
63,0.329349547624588,0.9837499856948853,0.3327530324459076,0.9866666793823242
64,0.32694151997566223,0.9837499856948853,0.33040565252304077,0.9866666793823242
65,0.32453811168670654,0.9837499856948853,0.32807180285453796,0.9866666793823242
66,0.32216545939445496,0.9837499856948853,0.3257462680339813,0.987500011920929
67,0.31980109214782715,0.9850000143051147,0.32347315549850464,0.9866666793823242
68,0.31747084856033325,0.9850000143051147,0.32115358114242554,0.987500011920929
69,0.31515735387802124,0.9850000143051147,0.31889089941978455,0.987500011920929
70,0.3128594160079956,0.987500011920929,0.3166581094264984,0.987500011920929
71,0.31059300899505615,0.987500011920929,0.31444478034973145,0.987500011920929
72,0.3083285391330719,0.987500011920929,0.31223633885383606,0.987500011920929
73,0.3060629069805145,0.9887499809265137,0.31000933051109314,0.987500011920929
74,0.3038475215435028,0.9900000095367432,0.3078463673591614,0.987500011920929
75,0.3016532063484192,0.9900000095367432,0.30570632219314575,0.987500011920929
76,0.2994730472564697,0.9900000095367432,0.30356138944625854,0.987500011920929
77,0.2973122298717499,0.9900000095367432,0.3014902174472809,0.987500011920929
78,0.29515624046325684,0.9900000095367432,0.2993732690811157,0.987500011920929
79,0.2930624485015869,0.9900000095367432,0.2973126769065857,0.987500011920929
80,0.2909448742866516,0.9900000095367432,0.29520341753959656,0.987500011920929
81,0.2888369858264923,0.9912499785423279,0.29319941997528076,0.987500011920929
82,0.2867994010448456,0.9912499785423279,0.29119881987571716,0.987500011920929
83,0.2847641408443451,0.9912499785423279,0.2891685962677002,0.9883333444595337
84,0.2826926112174988,0.9912499785423279,0.287190705537796,0.9891666769981384
85,0.28069424629211426,0.9912499785423279,0.2852502465248108,0.9891666769981384
86,0.2786700427532196,0.9912499785423279,0.283281534910202,0.9900000095367432
87,0.2767043709754944,0.9912499785423279,0.28134509921073914,0.9900000095367432
88,0.2747458815574646,0.9912499785423279,0.27943623065948486,0.9900000095367432
89,0.27278754115104675,0.9912499785423279,0.2775242030620575,0.9900000095367432
90,0.27087169885635376,0.9912499785423279,0.27563998103141785,0.9908333420753479
91,0.2689632177352905,0.9912499785423279,0.273773193359375,0.9908333420753479
92,0.26705029606819153,0.9912499785423279,0.2719167172908783,0.9908333420753479
93,0.2652187645435333,0.9912499785423279,0.27009835839271545,0.9908333420753479
94,0.2633362114429474,0.9912499785423279,0.268285870552063,0.9908333420753479
95,0.2614955008029938,0.9912499785423279,0.2664559483528137,0.9908333420753479
96,0.2596537470817566,0.9912499785423279,0.26470285654067993,0.9908333420753479
97,0.2578467130661011,0.9912499785423279,0.262920081615448,0.9908333420753479
98,0.2560614347457886,0.9912499785423279,0.26117050647735596,0.9916666746139526
99,0.25428855419158936,0.9912499785423279,0.2594483196735382,0.9916666746139526
100,0.25254055857658386,0.9912499785423279,0.2577033042907715,0.9916666746139526
